step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,ageOrig,ageDest
228,CASH_IN,65017.16,C1582224947,9026193.85,9091211.01,C1937841480,4797288.7,4732271.54,0,0,35,63.0
379,TRANSFER,17216.14,C1500954135,17216.14,0.0,C1753438531,0.0,0.0,1,0,80,20.0
302,PAYMENT,9579.02,C965848158,1025.0,0.0,M458924696,0.0,0.0,0,0,48,NaN
263,CASH_OUT,251504.62,C664560070,0.0,0.0,C442476645,565242.8,816747.42,0,0,86,65.0
37,CASH_IN,433374.94,C651291252,140.0,433514.94,C597133349,0.0,0.0,0,0,67,21.0
130,CASH_OUT,291869.65,C382901758,42038.0,0.0,C1098365054,883284.28,1175153.93,0,0,25,30.0
569,TRANSFER,103053.5,C44492718,103053.5,0.0,C2136380114,0.0,0.0,1,0,42,79.0
692,CASH_IN,194058.74,C1165352352,32915.0,226973.74,C441109151,2164513.8,1970455.06,0,0,87,43.0
253,CASH_OUT,185485.3,C1033174423,54920.0,0.0,C380253429,0.0,185485.3,0,0,78,49.0
365,CASH_OUT,4841332.26,C238987266,4841332.26,0.0,C1373089977,12806.8,4854139.07,1,0,71,19.0
380,CASH_OUT,259820.39,C722639909,259820.39,0.0,C1903020590,32888.78,292709.17,1,0,89,75.0
136,CASH_OUT,95267.81,C1426688213,95267.81,0.0,C1274877827,0.0,95267.81,1,0,64,78.0
233,CASH_OUT,178622.31,C49570126,49005.0,0.0,C1440147923,737847.47,916469.77,0,0,24,24.0
278,CASH_IN,10752.24,C1913016719,7180679.08,7191431.32,C1834583002,1482666.06,1471913.83,0,0,32,34.0
359,PAYMENT,4533.47,C1753319163,292.0,0.0,M606967594,0.0,0.0,0,0,74,NaN
562,CASH_OUT,2305939.38,C2131356877,2305939.38,0.0,C1797345744,0.0,2305939.38,1,0,29,23.0
137,CASH_OUT,128698.78,C1580940205,0.0,0.0,C1504684805,1540857.24,1669556.02,0,0,58,75.0
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0,89,70.0
161,PAYMENT,7952.33,C462327242,0.0,0.0,M2028778425,0.0,0.0,0,0,20,NaN
231,CASH_IN,81585.35,C1665685551,117910.0,199495.35,C1086322410,0.0,0.0,0,0,26,41.0
11,PAYMENT,5398.15,C1438758078,6823.0,1424.85,M1749307888,0.0,0.0,0,0,44,NaN
179,CASH_OUT,445705.76,C1911704726,445705.76,0.0,C960848277,0.0,445705.76,1,0,59,43.0
683,CASH_OUT,6545346.16,C1540810051,6545346.16,0.0,C123543768,272331.73,6817677.89,1,0,36,54.0
524,CASH_IN,21616.53,C326391639,286667.0,308283.53,C1851934902,246068.31,224451.78,0,0,34,82.0
181,CASH_OUT,113650.76,C1352439480,41691.0,0.0,C1331942492,0.0,113650.76,0,0,48,85.0
554,TRANSFER,10000000.0,C292642955,23576297.1,13576297.1,C1916793179,0.0,0.0,1,0,70,56.0
