transaction_id,timestamp,source_account,destination_account,transaction_type,amount,customer_age,ip_address,device_id,location,channel,is_fraud,fraud_type
TXbf2dab58,2025-01-26 19:44:00,ACCT63454,ACCT65405,Deposit,9730.6,76,124.225.108.183,DEV-4923,Washington,Mobile App,False,
TX47c9491b,2025-01-31 23:51:54,ACCT42564,ACCT42253,Deposit,3669.72,88,23.127.231.84,DEV-5473,Washington,Online Banking,False,
TX03282458,2025-01-07 11:39:48,ACCT81479,ACCT85136,Wire Transfer,1039.69,75,145.103.165.60,DEV-5972,Washington,Mobile App,False,
TX46d8b0d3,2025-01-12 15:11:16,ACCT33819,ACCT36971,Withdrawal,2525.79,76,222.230.197.228,DEV-6897,Pennsylvania,ATM,False,
TX924f0f91,2025-01-11 06:40:02,ACCT26029,EXT-25324,Deposit,5315.37,83,57.33.141.150,DEV-8827,California,Branch,False,
TX26cb0148,2025-01-16 10:45:09,ACCT24402,ACCT80007,Withdrawal,9292.3,78,44.32.251.167,DEV-9829,Arizona ,Branch,False,
TX08002099,2025-01-28 21:11:30,ACCT14154,ACCT14352,Online Payment,8587.34,71,53.176.116.56,DEV-1479,California,ATM,False,
TX6162571f,2025-01-26 22:26:05,ACCT59772,ACCT70983,Online Payment,5858.4,60,94.144.43.250,DEV-7835,Florida,ATM,False,
TXfc66d47c,2025-01-09 10:54:20,ACCT94087,ACCT79013,Online Payment,8035.35,69,86.19.158.101,DEV-4928,Pennsylvania,Branch,True,Extortion
TX9130283a,2025-01-14 09:37:31,ACCT11735,ACCT87982,Withdrawal,835.59,89,165.193.182.4,DEV-4257,Florida,ATM,True,Personal Data Breach
TX23d79c25,2025-01-11 11:03:26,ACCT56427,ACCT74009,Online Payment,500.75,67,215.197.224.180,DEV-6010,Florida,Mobile App,False,
TXc90d1685,2025-01-16 08:40:24,ACCT35318,ACCT40285,Wire Transfer,5220.07,89,20.56.102.138,DEV-3179,Washington,Branch,False,
TXebfe71e1,2025-01-28 02:39:51,ACCT68768,EXT-59231,Online Payment,8956.38,72,124.23.232.230,DEV-9522,Texas,Mobile App,False,
TX3865a9b2,2025-01-03 14:53:03,ACCT84550,ACCT91637,Wire Transfer,910.37,83,7.146.12.113,DEV-3734,Texas,Branch,True,Personal Data Breach
TX2558296f,2025-01-28 10:15:34,ACCT43074,EXT-75505,Withdrawal,5638.99,65,37.227.7.113,DEV-2016,Texas,Branch,False,
TX551caa3c,2025-01-29 08:35:07,ACCT86819,ACCT60293,Wire Transfer,5281.91,73,145.114.58.20,DEV-9616,Washington,Mobile App,False,
TXbf47056b,2025-01-25 23:27:08,ACCT15071,ACCT29207,Online Payment,144.15,88,14.209.71.250,DEV-5674,California,Branch,False,
TX5a4f7f62,2025-01-08 16:30:05,ACCT81807,EXT-97096,Withdrawal,4517.17,90,163.9.172.48,DEV-9702,Texas,Mobile App,False,
TXab4f4377,2025-01-08 10:35:11,ACCT44259,ACCT52233,Deposit,1917.47,80,8.36.205.72,DEV-4960,Washington,Branch,False,
TX43475504,2025-01-01 06:09:00,ACCT69336,ACCT26029,Wire Transfer,3522.36,70,254.142.227.2,DEV-6985,California,Online Banking,False,
TXe4924764,2025-01-13 02:43:29,ACCT24025,EXT-63636,Wire Transfer,2584.13,86,155.243.83.172,DEV-4956,Florida,Mobile App,False,
TX42f942d1,2025-01-10 14:12:21,ACCT94352,ACCT70224,Online Payment,6796.92,79,106.6.76.199,DEV-8609,Florida,Mobile App,True,Extortion
TXb5395789,2025-01-02 04:44:36,ACCT22154,ACCT71096,Withdrawal,3607.01,69,30.81.26.128,DEV-3434,Ohio,Online Banking,False,
TX0f657a80,2025-01-25 13:57:13,ACCT23816,ACCT12410,Online Payment,1292.85,81,38.125.162.191,DEV-3881,Colorado,Online Banking,False,
TX834d1aa6,2025-01-30 10:25:03,ACCT38572,ACCT74009,Online Payment,6580.28,86,234.120.133.184,DEV-9358,Florida,Mobile App,True,Confidence/Romance
TX61f59b54,2025-01-14 16:31:05,ACCT56844,ACCT31827,Wire Transfer,1352.05,60,48.41.15.64,DEV-6952,Florida,Online Banking,True,Personal Data Breach
TX13a2878c,2025-01-31 05:25:10,ACCT89894,ACCT91637,Wire Transfer,3862.94,75,219.77.246.198,DEV-8774,California,Mobile App,True,Personal Data Breach
TX7cf97f5d,2025-01-29 20:25:43,ACCT70983,ACCT98007,Wire Transfer,4926.09,68,228.247.149.156,DEV-1329,Arizona ,Branch,False,
TXbd0b56fe,2025-01-19 12:35:05,ACCT11934,ACCT13920,Wire Transfer,2659.12,73,6.89.17.229,DEV-1419,Florida,Branch,False,
TX7fed786b,2025-01-28 00:24:33,ACCT86038,EXT-82272,Withdrawal,3506.73,61,113.233.104.97,DEV-8564,Ohio,ATM,False,
TXfc360026,2025-01-19 05:09:08,ACCT67689,ACCT53403,Wire Transfer,8752.07,81,25.163.71.47,DEV-1108,Washington,Branch,False,
TXf9c73f1a,2025-01-10 12:58:40,ACCT44168,ACCT86563,Online Payment,2585.04,63,246.160.85.238,DEV-9805,Colorado,Mobile App,False,
TXd7bc8270,2025-01-02 14:06:58,ACCT43074,ACCT12439,Deposit,8436.01,65,206.54.8.198,DEV-6683,Colorado,ATM,True,Tech Support
TX34569ffb,2025-01-14 13:55:43,ACCT18258,EXT-19031,Online Payment,5474.05,89,51.165.219.203,DEV-4789,Pennsylvania,Mobile App,False,
TX7a65a2b1,2025-01-05 18:38:56,ACCT69132,ACCT47922,Deposit,4800.27,81,158.3.241.91,DEV-2727,Florida,Online Banking,True,Extortion
TXdb05608f,2025-01-31 01:02:42,ACCT47366,EXT-73120,Online Payment,1567.68,88,200.214.36.4,DEV-2188,Florida,Branch,False,
TX9f5f5e16,2025-01-01 14:13:50,ACCT15197,ACCT43228,Deposit,9254.02,63,18.159.39.15,DEV-7220,New York,Branch,False,
TXfa00548f,2025-01-25 05:20:19,ACCT11735,ACCT11279,Online Payment,4202.22,89,11.2.50.165,DEV-2648,Colorado,Mobile App,True,Confidence/Romance
TX56da894b,2025-01-16 17:04:49,ACCT95880,ACCT11237,Deposit,7862.37,73,191.95.231.131,DEV-9814,Ohio,Online Banking,False,
TX47833323,2025-01-03 18:00:32,ACCT98823,ACCT42649,Withdrawal,3637.59,79,115.48.52.96,DEV-1396,Arizona ,ATM,False,
TX2f9a53f8,2025-01-09 20:23:01,ACCT11279,ACCT70744,Withdrawal,7553.44,69,196.79.21.21,DEV-8830,Texas,Mobile App,False,
TX78290992,2025-01-02 05:36:16,ACCT10083,ACCT18191,Deposit,3424.42,79,91.130.114.24,DEV-8028,Florida,Online Banking,False,
TXb9e85ea0,2025-01-25 16:20:42,ACCT46909,ACCT72462,Deposit,7495.15,65,8.189.6.25,DEV-7197,Washington,ATM,True,Extortion
TXec5b7769,2025-01-20 16:54:28,ACCT50219,ACCT89835,Deposit,9197.28,80,243.177.62.126,DEV-8295,Arizona ,Mobile App,True,Extortion
TX78f8ceff,2025-01-26 01:40:53,ACCT62713,ACCT19897,Deposit,871.74,63,19.107.62.196,DEV-9808,California,ATM,False,
TXa14c509d,2025-01-02 12:00:43,ACCT43228,ACCT92048,Deposit,6791.97,83,50.169.92.117,DEV-8617,Ohio,Online Banking,False,
TXbaa588ae,2025-01-09 10:30:16,ACCT12668,ACCT28467,Wire Transfer,1874.88,66,94.118.89.58,DEV-1144,Colorado,Branch,False,
TXf81846ba,2025-01-03 20:43:13,ACCT47541,EXT-37901,Withdrawal,8359.29,72,16.25.155.218,DEV-4350,Colorado,Mobile App,True,Real Estate
TX9c412b73,2025-01-23 21:08:13,ACCT48076,ACCT70983,Deposit,397.62,64,157.45.239.255,DEV-5804,Washington,Online Banking,True,Tech Support
TX34e89446,2025-01-16 01:45:28,ACCT18266,EXT-73434,Withdrawal,847.11,72,82.210.3.202,DEV-2561,Florida,Online Banking,False,
TXc97297ab,2025-01-17 23:19:55,ACCT21963,ACCT34087,Withdrawal,9343.82,85,88.60.114.34,DEV-6339,Pennsylvania,Branch,False,
TXc2c7ffdb,2025-01-15 20:01:42,ACCT35987,ACCT36220,Online Payment,3908.25,80,82.51.182.28,DEV-9670,Texas,Mobile App,False,
TXb47a6382,2025-01-26 19:59:03,ACCT17862,ACCT36864,Wire Transfer,9922.56,69,8.99.156.228,DEV-5342,Ohio,Online Banking,False,
TX6d164608,2025-01-31 06:26:40,ACCT44022,ACCT36220,Online Payment,3407.31,65,75.54.49.225,DEV-1359,Pennsylvania,Online Banking,False,
TX30a92437,2025-01-03 08:11:59,ACCT23398,ACCT72579,Wire Transfer,6072.08,84,102.154.155.20,DEV-6205,Pennsylvania,ATM,False,
